date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202101,AG,age,3,indication,694072,3,0,0.75,75,42.9,0,0,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202102,AG,age,2,indication,694072,5,0,0.143,14.299999999999999,23.799999999999997,0,0,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202103,AG,age,4,indication,694072,9,0,0.024,2.4,4.8,0,0,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202104,AG,age,504,indication,694072,513,0.1,0.652,65.2,53.5,0.07,0.07,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202105,AG,age,1612,indication,694072,2125,0.3,0.623,62.3,59.9,0.23,0.31,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202106,AG,age,1491,indication,694072,3616,0.5,0.583,58.3,59.199999999999996,0.21,0.52,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202107,AG,age,3629,indication,694072,7245,1,0.686,68.60000000000001,63.6,0.52,1.04,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202108,AG,age,3646,indication,694072,10891,1.6,0.559,55.900000000000006,60.8,0.53,1.57,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202109,AG,age,2915,indication,694072,13806,2,0.49,49,57.8,0.42,1.99,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202110,AG,age,1934,indication,694072,15740,2.3,0.412,41.199999999999996,55.1,0.28,2.27,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202111,AG,age,2169,indication,694072,17909,2.6,0.42,42,53.1,0.31,2.58,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202112,AG,age,4527,indication,694072,22436,3.2,0.536,53.6,53.2,0.65,3.23,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
202113,AG,age,3589,indication,694072,26025,3.7,0.564,56.39999999999999,53.6,0.52,3.75,COVID19FullyVaccPersons,2021-12-03_07-52-50,detailed
