date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,126,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-01-28,moderna,fully_vaccinated,0,0,175,0,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-01-29,moderna,fully_vaccinated,0,0,183,0,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-01-30,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-01-31,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-01,moderna,fully_vaccinated,0,0,200,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-02,moderna,fully_vaccinated,0,0,226,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-03,moderna,fully_vaccinated,0,0,291,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-04,moderna,fully_vaccinated,0,0,394,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-05,moderna,fully_vaccinated,0,0,435,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-06,moderna,fully_vaccinated,0,0,436,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-07,moderna,fully_vaccinated,0,0,437,0,NA,0.14,32.04,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-08,moderna,fully_vaccinated,0,0,465,0,NA,0.14,30.11,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-09,moderna,fully_vaccinated,0,0,513,0,NA,0.14,27.29,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-10,moderna,fully_vaccinated,1,1,676,147.93,NA,0.14,20.71,100,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-11,moderna,fully_vaccinated,0,1,850,0,NA,0.14,16.47,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-12,moderna,fully_vaccinated,0,1,1681,0,NA,0.14,8.33,NA,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-13,moderna,fully_vaccinated,0,1,3791,0,NA,0.29,7.65,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-14,moderna,fully_vaccinated,0,1,3871,0,NA,0.29,7.49,0,6.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-15,moderna,fully_vaccinated,0,1,5284,0,NA,0.29,5.49,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-16,moderna,fully_vaccinated,1,2,9354,10.69,NA,0.29,3.1,33.33,9.52,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-17,moderna,fully_vaccinated,1,3,14976,6.68,NA,0.29,1.94,100,13.64,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-18,moderna,fully_vaccinated,0,3,22114,0,NA,0.43,1.94,0,12.5,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-19,moderna,fully_vaccinated,0,3,29008,0,NA,0.43,1.48,0,10.71,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-20,moderna,fully_vaccinated,0,3,32500,0,NA,0.29,0.89,0,10.34,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-21,moderna,fully_vaccinated,1,4,32963,3.03,NA,0.14,0.42,100,13.33,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-22,moderna,fully_vaccinated,0,4,40672,0,NA,0.14,0.34,0,12.5,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-23,moderna,fully_vaccinated,0,4,52155,0,NA,0.14,0.27,0,10.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-24,moderna,fully_vaccinated,0,4,64897,0,NA,0.14,0.22,0,10.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-25,moderna,fully_vaccinated,0,4,78882,0,NA,0,0,0,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-26,moderna,fully_vaccinated,0,4,91635,0,NA,0,0,NA,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-27,moderna,fully_vaccinated,0,4,95442,0,NA,0.29,0.3,NA,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-02-28,moderna,fully_vaccinated,0,4,96478,0,NA,0.43,0.45,0,9.76,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-01,moderna,fully_vaccinated,0,4,105714,0,NA,0.43,0.41,0,9.52,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-02,moderna,fully_vaccinated,2,6,116705,1.71,NA,0.57,0.49,66.67,13.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-03,moderna,fully_vaccinated,1,7,128277,0.78,NA,0.57,0.44,33.33,14.58,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-04,moderna,fully_vaccinated,0,7,139340,0,NA,0.57,0.41,0,14,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-05,moderna,fully_vaccinated,1,8,149024,0.67,NA,0.57,0.38,100,15.69,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-06,moderna,fully_vaccinated,0,8,150920,0,NA,0.29,0.19,0,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-07,moderna,fully_vaccinated,0,8,151721,0,NA,0.29,0.19,0,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-08,moderna,fully_vaccinated,0,8,159338,0,NA,0.29,0.18,NA,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-09,moderna,fully_vaccinated,0,8,169402,0,NA,0.29,0.17,0,14.81,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-10,moderna,fully_vaccinated,1,9,178662,0.56,NA,0.29,0.16,100,16.36,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-11,moderna,fully_vaccinated,0,9,188909,0,NA,0.29,0.15,0,15.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-12,moderna,fully_vaccinated,1,10,197450,0.51,NA,0.29,0.15,33.33,16.67,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-13,moderna,fully_vaccinated,0,10,199277,0,NA,0.29,0.15,0,16.39,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-14,moderna,fully_vaccinated,0,10,199625,0,NA,0.14,0.07,0,15.38,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-15,moderna,fully_vaccinated,0,10,206898,0,NA,0.14,0.07,0,14.93,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-16,moderna,fully_vaccinated,0,10,215423,0,NA,0,0,0,14.71,0,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-17,moderna,fully_vaccinated,0,10,224457,0,NA,0.14,0.06,0,14.08,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-18,moderna,fully_vaccinated,0,10,233506,0,NA,0.14,0.06,0,13.33,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-19,moderna,fully_vaccinated,0,10,241564,0,NA,0.14,0.06,0,12.82,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-20,moderna,fully_vaccinated,1,11,243241,0.41,NA,0.14,0.06,25,13.41,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-21,moderna,fully_vaccinated,0,11,243354,0,NA,0.14,0.06,0,13.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-22,moderna,fully_vaccinated,0,11,250208,0,NA,0.14,0.06,0,13.1,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-23,moderna,fully_vaccinated,0,11,257917,0,NA,0.14,0.05,0,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-24,moderna,fully_vaccinated,0,11,265121,0,NA,0.14,0.05,NA,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-25,moderna,fully_vaccinated,0,11,272942,0,NA,0.14,0.05,0,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-26,moderna,fully_vaccinated,0,11,278923,0,NA,0.14,0.05,NA,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-27,moderna,fully_vaccinated,1,12,280155,0.36,NA,0.14,0.05,50,13.48,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-28,moderna,fully_vaccinated,0,12,280661,0,NA,0.14,0.05,0,13.19,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-29,moderna,fully_vaccinated,0,12,285839,0,NA,0.29,0.1,0,12.9,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-30,moderna,fully_vaccinated,0,12,290618,0,NA,0.29,0.1,0,12.77,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-03-31,moderna,fully_vaccinated,0,12,296798,0,NA,0.29,0.1,0,12.5,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-04-01,moderna,fully_vaccinated,1,13,304632,0.33,NA,0.29,0.1,33.33,13.13,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-04-02,moderna,fully_vaccinated,0,13,306282,0,NA,0.57,0.19,0,12.75,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-04-03,moderna,fully_vaccinated,1,14,307407,0.33,NA,0.57,0.19,25,13.21,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-04-04,moderna,fully_vaccinated,0,14,307421,0,NA,0.71,0.23,0,12.96,25,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
2021-04-05,moderna,fully_vaccinated,2,16,307725,0.65,NA,0.71,0.23,66.67,14.41,23.1,CHFL,COVID19Hosp,vaccine,limited,2021-12-03_07-52-50
